tick,lifecycle_state,processed_low,processed_normal,processed_high,processed_critical
1,RUNNING,0,1,1,0
2,RUNNING,0,0,1,1
3,RUNNING,1,0,0,1
4,RUNNING,0,1,1,0
5,RUNNING,0,0,1,1
6,RUNNING,1,0,0,1
7,RUNNING,0,1,1,0
8,RUNNING,0,0,1,1
9,RUNNING,1,0,0,1
10,RUNNING,0,1,1,0
11,RUNNING,0,0,1,1
12,RUNNING,1,0,0,1
13,RUNNING,0,1,1,0
14,RUNNING,0,0,1,1
15,RUNNING,1,0,0,1
16,RUNNING,0,1,1,0
17,RUNNING,0,0,1,1
18,RUNNING,1,0,0,1
19,RUNNING,0,1,1,0
20,RUNNING,0,0,1,1
21,RUNNING,1,0,0,1
22,RUNNING,0,1,1,0
23,RUNNING,0,0,1,1
24,RUNNING,1,0,0,1
