tick,lifecycle_state,area_tick_latency_ms,queue_depth,deferred_events,overflow_events,budget_overrun
1,RUNNING,7,14,0,0,0
2,RUNNING,9,18,0,0,0
3,RUNNING,12,26,1,0,0
4,RUNNING,15,35,0,0,0
5,RUNNING,18,48,1,0,0
6,RUNNING,19,52,1,0,1
7,RUNNING,17,44,1,0,0
8,RUNNING,14,36,0,0,0
9,RUNNING,12,30,0,0,0
10,RUNNING,10,24,0,0,0
11,RUNNING,8,20,0,0,0
12,RUNNING,9,21,0,0,0
13,RUNNING,11,23,0,0,0
14,RUNNING,13,28,1,0,0
15,RUNNING,15,34,1,0,0
16,RUNNING,16,38,1,0,1
17,RUNNING,14,32,0,0,0
18,RUNNING,12,27,0,0,0
19,RUNNING,10,22,0,0,0
20,RUNNING,8,18,0,0,0
