tick,lifecycle_state,area_tick_latency_ms,queue_depth,deferred_events,overflow_events,budget_overrun
1,RUNNING,8,22,0,0,0
2,RUNNING,10,28,1,0,0
3,RUNNING,14,44,1,0,1
4,RUNNING,17,63,1,0,1
5,RUNNING,19,75,1,1,1
6,RUNNING,21,88,1,1,1
7,RUNNING,22,95,1,1,1
8,RUNNING,21,91,1,1,1
9,RUNNING,20,84,1,1,1
10,RUNNING,19,77,1,0,1
11,RUNNING,18,70,1,0,1
12,RUNNING,17,62,1,0,1
13,RUNNING,16,54,1,0,1
14,RUNNING,15,47,1,0,1
15,RUNNING,14,40,1,0,1
16,RUNNING,13,34,1,0,0
17,RUNNING,12,29,0,0,0
18,RUNNING,11,26,0,0,0
19,RUNNING,10,24,0,0,0
20,RUNNING,9,22,0,0,0
