tick,lifecycle_state,area_tick_latency_ms,queue_depth,deferred_events,overflow_events,budget_overrun
1,RUNNING,4.2,8.0,0,0,0
2,RUNNING,5.1,8.5,0,0,0
3,RUNNING,5.8,9.2,0,0,0
4,RUNNING,6.4,9.0,0,0,0
5,RUNNING,4.9,8.4,0,0,0
6,RUNNING,5.0,8.1,0,0,0
7,RUNNING,5.6,8.9,0,0,0
8,RUNNING,6.1,9.4,0,0,0
9,RUNNING,5.3,8.7,0,0,0
10,RUNNING,4.7,8.2,0,0,0
11,RUNNING,5.4,8.8,0,0,0
12,RUNNING,6.0,9.5,1,0,0
13,RUNNING,5.2,8.6,0,0,0
14,RUNNING,4.8,8.3,0,0,0
15,RUNNING,5.5,8.9,0,0,0
16,RUNNING,6.2,9.3,0,0,0
17,RUNNING,5.1,8.7,0,0,0
18,RUNNING,5.0,8.4,0,0,0
19,RUNNING,4.6,8.1,0,0,0
20,RUNNING,6.3,9.2,0,0,0
